coder,jobset,geslacht,leeftijd.jaar,opleiding,politiek_int,politiek_pos
7lkguFRx_T--1yw8WaStRA**,set_92,Vrouw,75,MBO,Enigszins geinteresseerd,4. midden
7lkguFRx_T--4n2LJv5Ojw**,set_64,Vrouw,22,Bachelor HBO/WO,Wel geinteresseerd,2. links
7lkguFRx_T--G-88WGHxLQ**,set_29,Man,51,MBO,Enigszins niet geinteresseerd,6. rechts
7lkguFRx_T--G0s9vGjz0g**,set_10,Vrouw,38,MBO,Enigszins niet geinteresseerd,6. rechts
7lkguFRx_T--Payy0hOG9g**,set_4,Vrouw,55,MBO,Helemaal niet geinteresseerd,1. links
7lkguFRx_T--Pn4VI3c3rg**,set_39,Man,50,MBO,Enigszins niet geinteresseerd,3. links
7lkguFRx_T--Uu4APJLdyg**,set_49,Vrouw,56,MBO,Enigszins geinteresseerd,4. midden
7lkguFRx_T--VfmuwMvDQA**,set_93,Vrouw,72,HAVO/VWO,Wel geinteresseerd,4. midden
7lkguFRx_T--bvQ4bJt4Gg**,set_121,Man,65,Bachelor HBO/WO,Zeer geinteresseerd,5. rechts
7lkguFRx_T--kIKqnigInA**,set_67,Vrouw,26,Master HBO/WO,Enigszins niet geinteresseerd,2. links
7lkguFRx_T--lL06IzJc4A**,set_50,Vrouw,65,VMBO,Zeer geinteresseerd,2. links
7lkguFRx_T--sok621BvNg**,set_78,Vrouw,66,VMBO,Wel geinteresseerd,6. rechts
7lkguFRx_T-05YjDdDxUtA**,set_26,Man,67,VMBO,Wel geinteresseerd,7. rechts
7lkguFRx_T-07Eal_YtrtQ**,set_44,Man,51,VMBO,Enigszins geinteresseerd,4. midden
7lkguFRx_T-0L763KdHvYg**,set_96,Vrouw,48,Master HBO/WO,Zeer geinteresseerd,2. links
7lkguFRx_T-0PXM_YY-30Q**,set_102,Vrouw,60,Bachelor HBO/WO,Enigszins geinteresseerd,5. rechts
7lkguFRx_T-0dH5LIiF3Gg**,set_90,Man,58,Master HBO/WO,Zeer geinteresseerd,5. rechts
7lkguFRx_T-0eloGRd8ntw**,set_112,Vrouw,42,Master HBO/WO,Niet geintereseerd,4. midden
7lkguFRx_T-0lXGkRvSMLg**,set_91,Vrouw,34,Bachelor HBO/WO,Wel geinteresseerd,5. rechts
7lkguFRx_T-0sWxoYCbNvg**,set_82,Man,87,Master HBO/WO,neutraal,2. links
7lkguFRx_T-14k2NpqWqHg**,set_7,Vrouw,60,MBO,Enigszins geinteresseerd,6. rechts
7lkguFRx_T-1GTQP4WYKhA**,set_96,Man,62,Bachelor HBO/WO,Wel geinteresseerd,5. rechts
7lkguFRx_T-1KNsxpVMScA**,set_13,Vrouw,38,MBO,Zeer geinteresseerd,4. midden
7lkguFRx_T-1WC_2YAtHbA**,set_107,Man,56,MBO,Wel geinteresseerd,5. rechts
7lkguFRx_T-1d4bIgTlftg**,set_66,Vrouw,68,HAVO/VWO,Zeer geinteresseerd,1. links
