filename,transcript
01042025_Codeswitschen.txt,"00:00:00:00 - 00:00:08:08
Speaker 1
Als ik mijn matti tegenkom op straat, zeg ik vaak tegen mijn collega zeg ik Hey, alles goed? Herken je dit ook?

00:00:08:10 - 00:00:27:24
Speaker 1
Dit is code switcher. Het betekent dat je je manier van praten en gedragen aanpast aan je omgeving of gesprekspartner. Klinkt logisch toch? Iedereen past zich in meer of mindere mate aan, afhankelijk van de situatie. Als persoon met een migratieachtergrond wordt vaak extra gelet op hoe Nederlands je bent. De manier waarop je jezelf uitdrukt, bepaalt hoe je wordt behandeld.

00:00:28:01 - 00:00:41:01
Speaker 1
Spreek je netjes Nederlands, dan ben je goed geïntegreerd. Gebruik je straattaal of een accent, dan ben je ineens anders. En als je ergens tussenin beweegt, kun je het verwijt krijgen dat je verkeerd bent. Alsof je je eigen identiteit aan de kant zet.

00:00:41:06 - 00:00:49:11
Speaker 2
Het is lastig als je een soort van tweeledige identiteit hebt om de twee identiteiten samen te vormen in één persoon.

00:00:49:16 - 00:01:00:00
Speaker 1
Maar coach, je is niet alleen een last. Voor mij is het een kracht. Het stelt me in staat om in verschillende sociale omgevingen soepel te navigeren en verbinding te maken met mensen uit diverse achtergronden.

00:01:00:01 - 00:01:11:22
Speaker 3
Ik zal mijn. Met collega's. Volgende week gaan we die deal binnenhalen. Super tof bla bla bla, zeg ik zo te spreken. En in de verte zie ik al boys uit de haven uit Rotterdam-West op me afloopt. Kreeg een soort error in mijn hoofd merkte ik.

00:01:12:01 - 00:01:25:20
Speaker 1
Toch is het belangrijk om te erkennen hoe vermoeiend het kan zijn om steeds te moeten wisselen. Simpelweg om geaccepteerd te worden. Dusja ja, CO2 is iets wat iedereen doet, maar de impact ervan is niet voor iedereen hetzelfde.

"
03032025_Bechdeltest.txt,"00:00:00:00 - 00:00:33:16
Speaker 1
Gisteravond kleurde Hollywood goud tijdens de Oscars en daar werd natuurlijk de beste film gekozen. En de Oscars? Oscar to A. Maar welke film is van deze Oscars? De grote winnaar van de Bechdel test? De Bechdel test is een test die gebruikt kan worden om een film te testen op seksisme. Een film slaagt voor de echte test als er tenminste twee vrouwelijke personages zijn die een naam hebben, twee die met elkaar praten en drie met elkaar praten over iets anders dan een man.

00:00:33:18 - 00:00:54:21
Speaker 1
What if I told you that princess is the only woman character with a name? In de Episode of Star Wars in duizendnegenhonderdnegenentwintig schreef Virginia Woolf al dat vrouwelijke personages in fictie vaak alleen bestaan in relatie tot mannen. In duizendnegenhonderdvijfentachtig maakte Ellis van Berkel een comic over een vrouw die alleen naar de film wil gaan, waar vrouwen met elkaar praten over iets anders dan een man.

00:00:54:22 - 00:01:24:04
Speaker 1
En. Uit deze comic ontstond de Bechdel test. Give me a call when you're ready to talk about something besides men voor tieners. Maar nu is het tijd om te bepalen wie uit deze Oscars de grote winnaar is van de Bechdel test. En de winnaar is. We hebben een gedeelde nummer één plek voor Wicked Hair en Emilia Perez. Helaas zijn er ook Oscar genomineerde films die slecht uit de test kwamen, zoals Conclaaf en een compleet andere.

00:01:24:06 - 00:01:49:16
Speaker 1
Die haalde maar liefst één van de drie punten. Deze test is niet helemaal waterdicht, want het wil niet zeggen dat deze films per se seksistisch of niet feministisch zijn. En de Bechdel test zegt ook niks over welke vrouwen in de films voorkomen, zoals bijvoorbeeld oudere vrouwen of vrouwen van kleur. Zo waren er in 2024 maar acht films uit de top honderd met een vrouwelijke hoofdpersoon boven de 45 jaar.

00:01:49:17 - 00:02:04:04
Speaker 1
Ook zijn er nauwelijks moslima's te zien in films. Het is duidelijk aan deze test mag nog gesleuteld worden, maar de volgende keer als je een film kijkt, kan je er op letten. Twee vrouwen met namen die praten over iets anders dan een man.

"
03062025_Ghana_1.txt,"00:00:00:00 - 00:00:12:01
Speaker 1
Wat hebben Ghana en Nederland met elkaar te maken? Meer dan je denkt. Naar aanleiding van de Ghanese Onafhankelijkheidsdag bespreken we de rol van Nederland in deze koloniale geschiedenis.

00:00:12:03 - 00:00:36:04
Speaker 1
270 jaar lang wapperde de Nederlandse vlag boven Ghana. Europeanen noemden Ghana de Goudkust, omdat er daar veel goud in de grond zit. Om daarvan te profiteren bouwde Nederland forten langs de aan deze kust. Maar al snel veranderde het goud in iets veel gruwelijker mensen. Nederlandse schepen vervoerden 600.000 tot slaaf gemaakte Afrikanen. De meesten eindigden in Suriname. In dit jaar verbiedt Nederland de slavenhandel.

00:00:36:05 - 00:00:59:17
Speaker 1
Einde verhaal zou je denken. Nou, niet dus. In de Nederlandse forten ging de slavernij gewoon door. Fort Elmina werd het centrum van een nieuw soort uitbuiting. Ze noemden het contracten en dienstverbanden, maar in werkelijkheid werden mensen nog steeds gekocht en verkocht. Nederland verzon tot dit jaar een nieuwe vorm van slavernij. Ze kochten mensen van lokale leiders, verklaarden ze vrij en dwongen ze meteen het koloniale leger in.

00:00:59:22 - 00:01:22:16
Speaker 1
Duizenden Ghanezen vochten voor Nederland in Indonesië onder het mom van een vrijwillige dienst, maar het kwam neer op slavernij in een militair uniform. Toen begon voor Ghana een nieuwe periode van koloniale overheersing. Want Nederland verkocht zijn vervallen forten en verzwakte macht aan de Britten. Na de onafhankelijkheid in duizendnegenhonderdzevenenvijftig erfde Ghana een land met diepe sociale en economische littekens.

00:01:22:19 - 00:01:33:11
Speaker 1
En de Nederlandse forten? Die staan er nu nog. Het is zelfs UNESCO werelderfgoed. Maar achter die oude muren schuilt een geschiedenis van onderdrukking.

"
04042025Financiële educatie jongeren.txt,"00:00:00:00 - 00:00:32:23
Unknown
Select 12% from the unit is financial results and quiet tomatillos over a health and a decent gain from in the first half. This acronym answers OSHA and the typical year to health sack of Erika Valero from Alice Meyer later and takes over health. For all the main flesh outs and the motion of me to I make them that you mean that on and on the length of South Africa is within the days I'll motivate and not because I want to cry because will touch on the jobs like many of the building stuff.

00:00:33:00 - 00:00:58:13
Unknown
I'd say first, like since Corona has until you want to get school, the yard looks for debates and on notice of all the other life relating aam FC. It's super McCulloch Mac or moot culpa and that is valid. My bottom is it so belong right this sign from Caltech. It also could earn and achieve it in usher I'll skins for now I'd make us we held would on hand for us in the mean the recycle problem and that will need effort until next week.

00:00:58:13 - 00:01:18:11
Unknown
Reports can't go to call for all believe I draw your financial supervisory for omelet. My Chevrolet tweet out my damn car. You feel better for problem. A decoy baited to bash from a is a my. Who's your credit on talk for a in front of mountain health to stab all to have some health is actually all overall strategy.

00:01:18:13 - 00:01:39:12
Unknown
Ross calls that I have been and what has the outspoken here long negative is crap who I should tell from snubs and just him the elephant real problem is unmotivated when also and it's fact baseball is legal is after the huge omen by all of conflict is don't you share information but they can often mentor personal information for us to implement.

00:01:39:12 - 00:01:45:24
Unknown
You should go. What's our milliliter over health? Lots of data in a accordance.

"
09042025_ov_1.txt,"00:00:00:00 - 00:00:10:06
Speaker 1
De dichtstbijzijnde bushalte is kilometers ver weg of je hoort dit geluidje als je wilt inchecken.

00:00:10:08 - 00:00:33:10
Speaker 1
Vandaag wordt in de Tweede Kamer besproken of jij gratis met de trein, metro, bus of andere OV kan gaan. Dit is naar aanleiding van een burgerinitiatief met ruim 57.000 handtekeningen. Maar om te kunnen begrijpen waarom dit initiatief is opgezet, moeten we even bij de basics beginnen. Hoe zit ons openbaar vervoer precies in elkaar? Het OV bestaat natuurlijk uit de metro, de bus, de trein, de pont en de trein.

00:00:33:11 - 00:00:51:09
Speaker 1
Vroeger waren de NS en ProRail één bedrijf, maar sinds de jaren negentig heeft de overheid besloten om ze op te splitsen. Nu is de NS verantwoordelijk voor het rijden van de treinen en ProRail zorgt ervoor dat het spoor goed onderhouden wordt. De overheid speelt nog steeds een belangrijke rol in het organiseren van openbaar vervoer, maar voert het niet allemaal zelf uit.

00:00:51:12 - 00:00:55:05
Speaker 1
Daardoor is een deel van het OV in Nederland in handen van verschillende bedrijven.

00:00:55:07 - 00:01:21:18
Speaker 2
Als je dingen overlaten aan een marktpartij, dan gebeurt er één ding. Efficiëntie, het allerbelangrijkst en alle andere waarden die voor ons misschien belangrijk zijn. Democratie, gelijkheid, toegankelijkheid. Dat wordt secundair. Uiteindelijk gaat alles om efficiëntie. Dus je moet je voorstellen als ik in Horst De vaarten sloten broek woon en ik ben de enige die naar mijn opleiding moet met de bus en er komt niemand, dan is het een hele efficiënte beslissing voor zo'n partij om te zeggen we gaan daar geen bussen meer naar toe sturen.

00:01:21:23 - 00:01:27:17
Speaker 1
De gevolgen zijn duidelijk zichtbaar. In vijf jaar tijd zijn ruim 1500 bushaltes verdwenen.

00:01:27:19 - 00:01:42:04
Speaker 2
Wat ik persoonlijk een van de belangrijkste dingen vind, is dat wij geen controle meer hebben over hoe ons openbaar vervoer eruit ziet. Wij kunnen daar helemaal geen beslissingen meer over nemen. Dat is volledig overgelaten aan de markt.

00:01:42:05 - 00:01:58:05
Speaker 1
Het openbaar vervoer is dus alles behalve openbaar. Dus ik richt me even naar politiek Den Haag. Stappen jullie aan boord en luister die naar tienduizenden mensen of laat jullie mensen achter Zonder saldo?

"
10042025_[Wapen}_1.txt,"00:00:00:00 - 00:00:32:10
Unknown
Nederland koopt wapens van Israël die getest zijn op Palestijnen. Nederland is medeplichtig aan de genocide in Gaza door zowel het kopen en verkopen van wapens. Deze worden namelijk door Israëlische militairen gebruikt tegen de Palestijnse bevolking. In Nederland steeg plotseling de export van wapens naar Israël met € 10 miljoen in 2022 en 12 miljoen in 2023. Ook kocht het ministerie van Defensie in de afgelopen vijf jaar voor bijna € 2 miljard aan Israëlische wapens.

00:00:32:12 - 00:00:58:14
Unknown
Na elke aanval in Palestina van Israël worden de wapens meer waard. Dit omdat ze aangeprezen worden als combat proven of battle tested. In deze context betekend dat dus dat ze getest zijn op het Palestijnse volk. Vorige week zijn vijftien hulpverleners vermoord in Gaza, waarmee Israël weer het internationaal en oorlogsrecht schendt. Hierdoor werd de Israëlische ambassadeur voor het eerst sinds 7 oktober op het matje geroepen door het ministerie van Buitenlandse Zaken.

00:00:58:17 - 00:01:19:16
Unknown
Ook werd maandag bekendgemaakt dat de doorvoer van militaire goederen naar Israël scherper gecontroleerd wordt. Maar wat betekenen deze maatregelen in de praktijk? Dus wat je ziet is dat het goed is dat er nu iets gebeurt, maar het is bij lange na nog niet genoeg. En je ziet dat het nog steeds geen indruk maakt op Israël. De bombardementen gaan door, het doden gaat door, dus er is veel meer nodig van Nederland om daadwerkelijk Israël tot verandering te brengen.

00:01:19:19 - 00:01:38:01
Unknown
De maatregelen die nu genomen zijn, dus het het matje roepen van de ambassadeur, het aanpassen van die doorvoer regels van de algemene vergunning, het is gewoon niet genoeg. Het is goed dat het gebeurt. Het is een eerste stap, maar bij lange na niet genoeg. Nederland is niet alleen medeplichtig, maar verdient ook geld aan de genocide. Dus politiek Den Haag, wat willen jullie doen?

00:01:38:07 - 00:01:42:17
Unknown
Kiezen jullie voor wapens of mensenrechten?

"
13032025Aids_1.txt,"00:00:00:00 - 00:00:04:13
Speaker 1
Miljoenen levens staan op het spel.

00:00:04:15 - 00:00:27:19
Speaker 1
De Amerikaanse regering heeft besloten om het AIDS Bestrijdings programma Pet Farm per direct stop te zetten. Dit betekent dat alle ontwikkelingshulp om de ziekte te bestrijden wordt wegbezuinigd. Dit is niet alleen een politieke beslissing, maar dit raakt het hart van een wereldwijd probleem. De onzichtbaarheid van de 3909 miljoen mensen met hiv of aids. Kijk, in de jaren negentig was hiv vrijwel altijd een doodvonnis.

00:00:27:21 - 00:00:53:16
Speaker 1
Vooral meer mensen met hiv werden genegeerd door de samenleving, gezien als dodelijk en uitgesloten. Een hele generatie heeft daardoor hun volledige potentie niet kunnen benutten omdat ze aan vergevorderde hiv zijn overleden. Vandaag de dag is heel goed behandelbaar. Met de juiste medicatie kun je het virus niet overdragen en een volledig leven leiden. Toch blijft het stigma bestaan. Nu weet ik beter, maar ook ik heb hiv een lange tijd geassocieerd met schuld en onvoorzichtigheid in de cure community.

00:00:53:17 - 00:01:04:00
Speaker 1
Wanneer we het hebben over hiv, hebben we het over mensen, maar toch ziet niet iedereen dat zo. En de stillegging van Pepper is daar het perfecte voorbeeld van.

"
14052025_Clarice Gargard_DEF_1.txt,"00:00:00:00 - 00:00:06:04
Speaker 1
I'm gonna burn out, sit down and create something new. Van alles, dat is revolutie.

00:00:06:06 - 00:00:11:14
Speaker 1
Steeds meer mensen wereldwijd staan op voor rechtvaardigheid, vrijheid en een betere toekomst.

00:00:11:19 - 00:00:24:21
Speaker 2
Bijvoorbeeld tegen de genocide in Palestina, de moderne slavernij in Congo en de grootste humanitaire ramp in Soedan. Maar misschien, tussen al dat onrecht voel je je ook wel eens machteloos. Wat zijn dan dingen die je kan doen?

00:00:24:23 - 00:00:37:07
Speaker 1
Enerzijds gaan we achteruit en worden die rechten ons ontnomen en anderzijds is het onze verantwoordelijkheid om telkens weer de rechten die we willen opnieuw daarvoor te gaan strijden en opnieuw daarvoor te gaan vechten. Dus je doet ertoe.

00:00:37:09 - 00:00:53:12
Speaker 3
Wanneer ik aan revolutie denk, dan denk ik niet zozeer aan proberen dingen te bereiken in het systeem dat er nieuw is of in de structuren die er nu zijn, maar vooral weg te stappen van die structuren en vooral op zoek gaan naar nieuwe manieren van zijn nieuwe manieren van maken.

00:00:53:14 - 00:01:08:02
Speaker 1
Maar het feit dat er door de geschiedenis heen altijd mensen zijn geweest die zich hebben uitgesproken, die zich hebben ingezet, die op de barricade stonden, die schreven, die kunst maakten. Dat heeft ervoor gezorgd dat we op dit moment in ieder geval in een groot deel van de wereld bepaalde rechten hebben.

00:01:08:08 - 00:01:23:03
Speaker 3
Helemaal mooi is dromen, hoop ik dat de revolutie extreem creatief gaat zijn. Ik hoop dat het gevuld is met kunst, met poëzie, met liederen, zelfs met spiritualiteit. Ik hoop dat het gevuld is met creativiteit.

00:01:23:06 - 00:01:43:23
Speaker 1
Ik denk dat het belangrijk is dat de jongere generatie ons scherp houdt. En ik denk dat belangrijk is dat wij als oudere generatie hen meegeven wat wij geleerd hebben en ook proberen te behoeden voor de fouten die wij gemaakt hebben. En wat ik heel erg vond en zie dat er zoveel passie zit en zoveel strijdlust tegelijkertijd dat er ook heel veel neerslachtigheid zit.

00:01:43:23 - 00:01:46:23
Speaker 1
Wat ik begrijp want je eerst een wereld die kapot gemaakt wordt.

00:01:46:24 - 00:02:00:01
Speaker 3
Ik denk dat we heel vaak het idee hebben dat we het echt alleen moeten doen. En ik denk dat het juist voor ons jongeren zo belangrijk is om te gaan nadenken van oh, wat betekent dit voor mij, Hoe ga ik dat bereiken, Hoe gaan we samen komen?

00:02:00:06 - 00:02:11:12
Speaker 1
Juist als je zegt maar je leert van anderen, leert van elkaar, lief bent voor elkaar, ook dat is heel belangrijk in de revolutie. Dat je lief bent voor elkaar. Dan komt het echt wel goed.

"
16042025_Daklozen-.txt,"00:00:00:00 - 00:00:24:24
Speaker 1
Hebben moeten van daklozen. Buiten slapen kostte € 170 en bedelen nog een keer 110 en wel. Vorig jaar waren er meer dan 2000 van zulke boetes uitgeschreven. € 300.000 aan boetes voor mensen die niet anders kunnen. De opvangplekken? Die zitten vaak vol of kosten geld. Maar het kan iets zijn van de NVJ hotline. Stel je bent dakloos, je krijgt een boete en ik neem aan dat je die niet kan betalen.

00:00:25:01 - 00:00:28:11
Speaker 1
Wat gebeurt er dan? De ene is dat je het van een gemeentelijke boa krijgt.

00:00:28:16 - 00:00:42:04
Speaker 2
Dan hangt het af van je, van het gemeentelijk beleid of iemand of zijn gemeente echt overgaat op innen. En als je via de politie je naar het CJIB sturen, dan gaat het CJIB. En dan als je adres dan weer bekend wordt en wordt het wel verstuurd.

00:00:42:08 - 00:00:45:24
Speaker 1
Later verschijnt die boete dan opeens weer. Als ze dan wel een huis krijgen.

00:00:46:01 - 00:00:51:13
Speaker 2
Als één van de eerste posten die je dan ontvangt is, dan heb je een boete of meerdere boetes.

00:00:51:15 - 00:00:56:01
Speaker 1
Nee, dit is niet echt een housewarming gift of zo. Waarom doen gemeentes dit dan eigenlijk?

00:00:56:05 - 00:01:16:07
Speaker 2
Je ziet dat er een aantal evenementen worden opgevoerd. Het ene is als stok achter de deur om mensen toch te bewegen om bijvoorbeeld ergens anders te gaan slaan. Als wordt ervaren dat er overlast is. Een ander evenement wat je wel eens behoort is dat het nodig is om dossiers op de been van mensen. Dat je kunt bewijzen dat mensen op straat hebben geslapen doordat zij die boetes hebben gekregen.

00:01:16:09 - 00:01:19:16
Speaker 1
Oké, maar het voelt ook alsof je daar gewoon een foto van kan maken.

00:01:19:18 - 00:01:24:02
Speaker 2
Ja, ik vraag me ook af waarom is het dan nodig om een boete daarvoor te geven? Omdat er gewoon een aantekening maken.

00:01:24:05 - 00:01:41:19
Speaker 1
De gemeente Amsterdam wilde enkel schriftelijk reageren en gaf aan dat boetes niet worden geïnd als mensen geen vaste verblijfplaats hebben of gewoon dakloos zijn. Oké, dus de gemeente Amsterdam geeft aan dat het beboeten van thuis een dakloze een laatste redmiddel is. Maar er moet toch wel een alternatief voor zijn.

00:01:41:21 - 00:01:51:24
Speaker 2
Ik denk betere opvang, meer huizen, betere GGZ aanpak van arbeidsmigratie. Ja, dat is een complex probleem. Vraagt gewoon om een complex antwoord en niet om een simpele boete.

"
17022024_V7 Bonaire.txt,"00:00:00:00 - 00:00:17:13
Speaker 1
Nederland stroomt over En dan heb ik het niet over Europees Nederland. Je weet wel waar ik mijn prijzen koop. Maar over één van de Nederlandse eilanden, Bonaire. Bonaire doet nu al met de grote gevolgen van klimaatverandering veel meer dan Europees Nederland.

00:00:17:15 - 00:00:25:16
Speaker 2
Een onderzoek van de Universiteit van Amsterdam heeft aangetoond dat als we niks doen, kunnen we ook een groot deel van het eiland ook verliezen aan permanente overstroming.

00:00:25:17 - 00:00:34:14
Speaker 1
Maar doet de staat wel iets om Bonaire te beschermen? Volgens Greenpeace en inwoners van Bonaire niet. En klagen daarom de Nederlandse staat aan en.

00:00:34:14 - 00:00:45:15
Speaker 2
Eisen dan ook twee dingen. Dat én de CO2 reductie zelf moet gaan, dat hier een plan is. En er moet ook bescherming komen voor Bonaire. En het moet ook in samenspraak zijn met de mensen van.

00:00:45:17 - 00:00:51:10
Speaker 1
Bonaire is onderdeel van het Koninkrijk der Nederlanden. Maar wordt dat ook zo ervaren?

00:00:51:12 - 00:01:01:05
Speaker 2
Er wordt gewoon gemeten met twee maten. Ik woon in Den Haag en ik mag genieten van de bescherming van mijn zus die op Bonaire. Dat is gewoon niet eerlijk, terwijl we allemaal net zo goed burgers van Nederland zijn.

00:01:01:07 - 00:01:28:17
Speaker 1
Bonaire ligt aan de kust en is daardoor kwetsbaarder voor overstromingen. De zeespiegel stijgt en Bonaire ook nog eens harder dan in Europees Nederland. Tijd voor actie, zou je zeggen. Maar toen de Klimaatwet en werden bepaald hoe Nederland de CO2 uitstoot kon verminderen, werden de drie overzeese gemeenten vergeten. Vergeten? Ja, Bonaire dus ook niet helemaal fair. En dat noem je nou met een moeilijk woord klimaat, onrechtvaardigheid.

00:01:28:18 - 00:01:40:06
Speaker 2
Voor Nederland zijn er eigenlijk allemaal maatregelen en toekomstscenario's gemaakt op allemaal onderzoek en beleid. Je hebt de Deltawerken etcetera. En voor Bonaire is er eigenlijk niks. Het discrimineert eigenlijk de eigen burgers.

00:01:40:11 - 00:02:10:11
Speaker 1
We hebben het ministerie van Klimaat en Groene Groei gevraagd naar een reactie hierop. Zij zeggen dat er inmiddels wordt gewerkt aan een klimaatplan voor de drie eilanden en dus ook voor Bonaire. Ze hebben voor deze drie eilanden € 1 miljoen beschikbaar en begin 2026 wordt er een concreet plan op tafel gezet. Maar dan is de rechtszaak van Greenpeace voorbij en ondertussen trekt moeder Natuur gewoon haar eigen plan, want de zeespiegel blijft voorlopig gewoon doorstijgen.

"
