coder_id,coder,jobset,unit_id,unit_status,variable,value,time_question,time_answer,field
12141,PSID_GOES_HERE,set_1,intro,DONE,intro,confirmed,2024-10-11T13:48:22.100Z,2024-10-11T13:48:26.697Z,
14211,123,set_3,intro,DONE,intro,confirmed,2024-10-16T11:49:12.167Z,2024-10-16T11:49:13.755Z,
14212,PSID_GOES_HERE,set_4,intro,DONE,intro,confirmed,2024-10-16T12:08:07.044Z,2024-10-16T12:08:09.193Z,
14251,7lkguFRx_T85MxJuaJyuRg**,set_6,intro,DONE,intro,confirmed,2024-10-16T12:22:52.045Z,2024-10-16T12:22:59.342Z,
14254,7lkguFRx_T_YGu9O-p6V2A**,set_7,intro,DONE,intro,confirmed,2024-10-16T12:23:30.973Z,2024-10-16T12:23:47.257Z,
14254,7lkguFRx_T_YGu9O-p6V2A**,set_7,survey,DONE,geslacht,Man,2024-10-16T12:23:48.258Z,2024-10-16T12:23:50.272Z,
14254,7lkguFRx_T_YGu9O-p6V2A**,set_7,survey,DONE,leeftijd.jaar,77,2024-10-16T12:23:50.828Z,2024-10-16T12:23:54.410Z,
14254,7lkguFRx_T_YGu9O-p6V2A**,set_7,survey,DONE,opleiding,Master HBO/WO,2024-10-16T12:24:00.435Z,2024-10-16T12:24:04.433Z,
14254,7lkguFRx_T_YGu9O-p6V2A**,set_7,survey,DONE,politiek_int,Wel geinteresseerd,2024-10-16T12:24:04.634Z,2024-10-16T12:24:11.041Z,
14254,7lkguFRx_T_YGu9O-p6V2A**,set_7,survey,DONE,politiek_pos,2. links,2024-10-16T12:24:18.168Z,2024-10-16T12:24:22.521Z,
14254,7lkguFRx_T_YGu9O-p6V2A**,set_7,training_intro,DONE,continue,confirmed,2024-10-16T12:24:25.606Z,2024-10-16T12:25:03.056Z,
14254,7lkguFRx_T_YGu9O-p6V2A**,set_7,training1,DONE,fact_opinion,5. Overwegend feitelijk,2024-10-16T12:25:04.166Z,2024-10-16T12:25:16.449Z,
14254,7lkguFRx_T_YGu9O-p6V2A**,set_7,training2,DONE,fact_opinion,2. Overwegend een mening,2024-10-16T12:25:19.205Z,2024-10-16T12:25:30.657Z,
14254,7lkguFRx_T_YGu9O-p6V2A**,set_7,s241,DONE,fact_opinion,2. Overwegend een mening,2024-10-16T12:25:34.621Z,2024-10-16T12:25:44.369Z,
14254,7lkguFRx_T_YGu9O-p6V2A**,set_7,s242,DONE,fact_opinion,5. Overwegend feitelijk,2024-10-16T12:25:47.498Z,2024-10-16T12:26:01.024Z,
14254,7lkguFRx_T_YGu9O-p6V2A**,set_7,s243,DONE,fact_opinion,1. Absoluut een mening,2024-10-16T12:26:03.917Z,2024-10-16T12:26:14.649Z,
14254,7lkguFRx_T_YGu9O-p6V2A**,set_7,s244,DONE,fact_opinion,2. Overwegend een mening,2024-10-16T12:26:17.385Z,2024-10-16T12:26:24.385Z,
