coder_id,coder_label,jobset,done,total
12141," PSID_GOES_HERE",set_1,1,45
14582," 7lkguFRx_T_vB03pUqkpEA**",set_1,45,45
14971," 7lkguFRx_T8-Zm-7IYqTog**",set_1,45,45
15398," 7lkguFRx_T-A79Wj2EZtMg**",set_1,45,45
15734," 7lkguFRx_T-CVBzSbhkOYg**",set_1,45,45
15900," 7lkguFRx_T8wtk63E7dRYg**",set_1,45,45
16068," 7lkguFRx_T8hg370JewP5g**",set_1,45,45
16302," 7lkguFRx_T89xfN6PouEJA**",set_1,45,45
16468," 7lkguFRx_T_eckxhk7EIeA**",set_1,45,45
16594," 7lkguFRx_T8ldQJdEAbQUQ**",set_1,45,45
16719," 7lkguFRx_T8WncysWI8xUg**",set_1,5,45
16845," 7lkguFRx_T9v-FDW_GPxCQ**",set_1,45,45
16970," 7lkguFRx_T8vpl5czq1JKA**",set_1,7,45
17095," 7lkguFRx_T9uGbVBdF9pzg**",set_1,45,45
17220," 7lkguFRx_T-uJK-aNLn1Fg**",set_1,45,45
17345," 7lkguFRx_T-a2yn93uy2uA**",set_1,45,45
17470," 7lkguFRx_T-qM4rB3TSSyg**",set_1,45,45
17595," 7lkguFRx_T9odRJHUgegWg**",set_1,45,45
17720," 7lkguFRx_T_MOgmYkDDYcw**",set_1,45,45
17845," 7lkguFRx_T9nLi0rYb_XBA**",set_1,4,45
17970," 7lkguFRx_T9aQpWiiBy6rA**",set_1,45,45
18095," 7lkguFRx_T_Lu3GPxFGAGQ**",set_1,45,45
18220," 7lkguFRx_T8i1l6jgcODHQ**",set_1,45,45
12142," PSID_GOES_HERE",set_2,0,45
14583," 7lkguFRx_T-82U2kG-yfFw**",set_2,45,45
14972," 7lkguFRx_T8HI4JYc6tjJg**",set_2,45,45
15402," 7lkguFRx_T9JmFj4DPvNNA**",set_2,45,45
15735," 7lkguFRx_T8C_M1lrW5ymA**",set_2,45,45
15902," 7lkguFRx_T8lqtsTfMNH2g**",set_2,45,45
16069," 7lkguFRx_T9FXa0WMsuhgA**",set_2,45,45
16304," 7lkguFRx_T8VyzV38o3iFg**",set_2,45,45
16469," 7lkguFRx_T9ZXgbQMKnTnw**",set_2,45,45
16595," 7lkguFRx_T9cFsma5gZUyA**",set_2,45,45
16720," 7lkguFRx_T8F17cHWkRhtg**",set_2,4,45
16846," 7lkguFRx_T_j_iLopY7Q0A**",set_2,45,45
16971," 7lkguFRx_T-OzEdbo6_STQ**",set_2,2,45
17096," 7lkguFRx_T-3vW3wbYZQqA**",set_2,2,45
17221," 7lkguFRx_T-j5pRRhKz94A**",set_2,45,45
17346," 7lkguFRx_T948jXUH60B_g**",set_2,45,45
17471," 7lkguFRx_T_U8h0c1PQqbg**",set_2,45,45
